age,educ,exper,hours,nwifeinc,speduc,kidslt6,kidsge6,expersq,black,hispanic
35,17,18.36538462,2178,0.1,18,1,1,337.2873521,0,0
35,11,8.846153846,840,62,14,0,2,78.25443787,0,0
36,14,9.884615385,0,42.8,14,0,3,97.7056213,0,0
36,20,18.59615385,3640,106.3,20,0,1,345.8169379,0,0
36,13,17.05769231,2080,60,12,0,1,290.9648669,0,0
36,20,19.19230769,2246,33.2,13,0,0,368.3446746,0,0
38,12,1.192307692,0,120,14,0,0,1.421597633,0,0
38,17,21.09615385,1596,52,14,0,4,445.0477071,0,0
38,17,8.480769231,0,60.01,14,2,3,71.92344675,0,0
36,20,19.32692308,1976,62,18,0,2,373.5299556,0,0
35,12,17.34615385,2184,22,12,0,1,300.8890533,0,0
35,17,17.61538462,2216,35,16,1,1,310.3017751,0,0
36,15,18.69230769,2080,38.1,14,0,0,349.4023669,0,0
35,17,12.38461538,0,85.25,16,1,1,153.3786982,0,0
36,17,18.69230769,2905,37,12,0,0,349.4023669,0,0
36,12,12.09615385,775,15,12,1,1,146.3169379,1,0
36,12,13.26923077,2288,95.1,9,1,1,176.0724852,0,1
36,17,12.82692308,2080,65,16,0,3,164.5299556,0,0
38,15,7.192307692,1480,58,15,0,1,51.72928994,0,0
38,16,18.98076923,1248,100,14,0,2,360.2696006,0,0
36,17,5.115384615,0,123.2,20,2,2,26.16715976,0,0
38,19,21.13461538,2380,50,16,0,2,446.6719675,0,0
38,16,21.26923077,2252,65,14,0,0,452.3801775,0,0
35,15,10.28846154,0,35,12,0,2,105.8524408,0,0
37,18,19.15384615,2652,118,20,1,0,366.8698225,0,0
36,20,15.86538462,936,220,18,1,2,251.710429,0,0
34,11,14.34615385,2080,60,14,1,1,205.8121302,0,0
34,13,7.769230769,0,48,16,2,0,60.36094675,0,0
35,12,7.711538462,330,136.5,14,2,2,59.46782544,0,0
38,16,9.615384615,0,205,16,1,2,92.4556213,0,0
38,20,17.92307692,918,50,18,0,2,321.2366864,0,0
38,19,21.03846154,2080,50,16,0,3,442.6168639,0,0
38,16,8.596153846,0,312.624,20,1,1,73.89386095,0,0
36,16,16.65384615,2072,67,12,0,2,277.3505917,0,0
34,14,8.615384615,1782,30,12,0,3,74.22485207,0,1
38,16,17.98076923,884,40,14,0,3,323.3080621,0,0
35,15,15.73076923,1704,40.25,12,1,0,247.4571006,0,0
37,12,6.403846154,0,139.2,14,0,2,41.00924556,0,0
38,12,19.26923077,3640,342.966,14,0,0,371.3032544,0,0
37,18,18.59615385,2080,48,16,0,2,345.8169379,0,0
37,19,19.92307692,2080,56,20,1,0,396.9289941,0,0
37,16,18.92307692,1820,50,16,1,2,358.0828402,0,0
36,16,18.17307692,1300,65,16,0,0,330.2607249,0,0
37,14,5.596153846,2080,32,12,0,3,31.31693787,0,0
38,14,15.73076923,2080,118,12,0,3,247.4571006,0,0
35,12,17.75,2080,30,12,0,0,315.0625,0,1
38,15,21.67307692,2912,46,14,0,0,469.7222633,0,0
36,15,19.48076923,2250,45,14,0,1,379.5003698,0,0
34,20,10.78846154,2080,36,12,2,0,116.3909024,0,0
34,16,17.13461538,2080,52,16,2,0,293.5950444,0,0
34,12,17.61538462,1776,55,12,0,1,310.3017751,1,0
37,14,19.67307692,2040,54,13,1,0,387.0299556,0,0
38,15,21.30769231,2080,70,16,0,2,454.0177515,0,0
34,14,2.730769231,0,12,14,1,0,7.457100592,0,0
36,16,6.019230769,0,90,14,0,2,36.23113905,0,0
36,19,17.19230769,2488,53,20,1,1,295.5754438,0,0
38,14,19.5,2080,0.35,12,0,1,380.25,1,0
38,14,11.75,70,60,14,0,1,138.0625,0,1
37,12,3.826923077,0,64,14,1,4,14.64534024,0,0
36,20,16.75,1918,185,18,2,0,280.5625,0,0
36,16,6.596153846,0,155,14,3,1,43.50924556,0,1
34,14,11.55769231,1510,95,16,0,2,133.5802515,0,0
35,12,15.40384615,2340,0.05,12,0,1,237.2784763,0,1
34,17,10.59615385,0,63.75,16,2,0,112.2784763,0,0
34,17,14.42307692,2237,186.01,16,1,0,208.0251479,0,1
34,16,16.78846154,2600,70,16,3,0,281.8524408,0,0
34,17,16.09615385,2080,75,12,0,0,259.0861686,0,0
36,20,14.86538462,2080,-92.251,20,2,0,220.9796598,1,0
34,19,16.21153846,2600,88,16,1,0,262.8139793,0,0
38,16,15.92307692,1880,67,16,2,1,253.5443787,1,0
34,18,17.34615385,3020,0.1,16,1,1,300.8890533,0,0
35,16,12.88461538,0,225,18,2,0,166.0133136,0,0
